MMI,Depth,Gap,Net,NST,Place,RMS,Sig,Sources,Status,Type,Time,URL
,0.06729,51.0,ci,39.0,"10km SSW of Idyllwild, CA",0.09,26,",ci,",reviewed,earthquake,1388620296020,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408890
,,,ak,,"117km NW of Talkeetna, Alaska",0.57,19,",ak,ak,",reviewed,earthquake,1388620046501,https://earthquake.usgs.gov/earthquakes/eventpage/ak01421ig3u
,,,ak,,"6km SSW of Big Lake, Alaska",0.47,22,",ak,ak,",reviewed,earthquake,1388619956476,https://earthquake.usgs.gov/earthquakes/eventpage/ak01421i2zj
,,,ak,,"63km NW of Talkeetna, Alaska",0.35,30,",ak,ak,",reviewed,earthquake,1388619763623,https://earthquake.usgs.gov/earthquakes/eventpage/ak01421heui
,,,us,,"27km WNW of Coquimbo, Chile",3.09,246,",us,",reviewed,earthquake,1388619735000,https://earthquake.usgs.gov/earthquakes/eventpage/usc000mnnn
,0.007207,90.0,nc,8.0,"4km NW of The Geysers, California",0.03,4,",nc,",automatic,earthquake,1388619644020,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134466
,0.001802,133.0,nc,16.0,"6km E of Mammoth Lakes, California",0.08,8,",nc,",reviewed,earthquake,1388619483870,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134461
,0.04045,92.0,ci,17.0,"11km ESE of Anza, CA",0.09,3,",ci,",reviewed,earthquake,1388619402290,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408882
,0.075,155.68,nn,5.0,Nevada,0.1066,6,",nn,",reviewed,earthquake,1388619146923,https://earthquake.usgs.gov/earthquakes/eventpage/nn00557597
,5.358,136.0,us,,South of the Fiji Islands,1.38,271,",us,",reviewed,earthquake,1388619137530,https://earthquake.usgs.gov/earthquakes/eventpage/usb000m2w9
,,,ak,,"74km SW of Unalaska, Alaska",0.64,50,",ak,ak,",reviewed,earthquake,1388618718598,https://earthquake.usgs.gov/earthquakes/eventpage/ak01421dpqr
,3.439,82.0,us,,"269km S of Amahusu, Indonesia",1.05,271,",us,",reviewed,earthquake,1388618653890,https://earthquake.usgs.gov/earthquakes/eventpage/usb000m2wa
,0.08557,115.0,uw,10.0,"12km E of Victoria, Canada",0.09,6,",uw,",reviewed,earthquake,1388618284550,https://earthquake.usgs.gov/earthquakes/eventpage/uw60664506
,0.068,193.46,nn,4.0,Nevada,0.1151,1,",nn,",reviewed,earthquake,1388618225608,https://earthquake.usgs.gov/earthquakes/eventpage/nn00557596
,0.28027437,165.6,pr,15.0,"4km SW of Guaynabo, Puerto Rico",0.23,112,",pr,us,",REVIEWED,earthquake,1388617808800,https://earthquake.usgs.gov/earthquakes/eventpage/pr14001004
,0.01072,97.0,ci,10.0,"10km SW of Niland, CA",0.06,1,",ci,",reviewed,earthquake,1388617699360,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408874
,,,us,,"18km ESE of Playa Vicente, Mexico",1.12,246,",us,",reviewed,earthquake,1388617516400,https://earthquake.usgs.gov/earthquakes/eventpage/usc000mh9r
,0.021,148.56,nn,7.0,"53km NNW of Pahrump, Nevada",0.0885,1,",nn,",reviewed,earthquake,1388617471115,https://earthquake.usgs.gov/earthquakes/eventpage/nn00432852
,0.02973,90.0,nc,19.0,"12km SE of Mammoth Lakes, California",0.05,2,",nc,",reviewed,earthquake,1388617009820,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134456
,0.1932,273.0,ci,11.0,"13km W of Alberto Oviedo Mota, B.C., MX",0.14,54,",ci,",reviewed,earthquake,1388616646650,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408866
,0.01102,68.0,nc,35.0,"1km ESE of The Geysers, CA",0.06,24,",nc,",reviewed,earthquake,1388616254500,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134451
,0.07568,152.0,nc,5.0,"2km ESE of Bishop, California",0.05,7,",nn,nc,",reviewed,earthquake,1388616011920,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134446
,0.01622,111.0,nc,6.0,Northern California,0.02,4,",nc,",automatic,earthquake,1388615750350,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134441
,0.01171,44.0,nc,42.0,"6km NW of The Geysers, California",0.04,17,",nc,",reviewed,earthquake,1388615736120,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134436
,8.309,94.0,us,,"36km WNW of Sola, Vanuatu",0.97,326,",us,",reviewed,earthquake,1388615631260,https://earthquake.usgs.gov/earthquakes/eventpage/usb000m2w8
,0.088,173.49,nn,4.0,Nevada,0.0336,10,",nn,",reviewed,earthquake,1388615608908,https://earthquake.usgs.gov/earthquakes/eventpage/nn00557595
,0.01894,71.0,uw,9.0,"27km NNW of Packwood, Washington",0.08,2,",uw,",reviewed,earthquake,1388615267370,https://earthquake.usgs.gov/earthquakes/eventpage/uw60664496
,0.02963,165.0,ci,15.0,"5km SW of Idyllwild, CA",0.04,4,",ci,",reviewed,earthquake,1388615009140,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408858
,0.05676,73.0,nc,42.0,"24km N of Dixon Lane-Meadow Creek, California",0.06,97,",nc,nn,ci,",reviewed,earthquake,1388614835770,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134431
,0.001802,105.0,nc,8.0,"4km NW of The Geysers, California",0.01,4,",nc,",automatic,earthquake,1388614645310,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134426
,0.081,198.4,nn,4.0,Nevada,0.0181,2,",nn,",reviewed,earthquake,1388614630842,https://earthquake.usgs.gov/earthquakes/eventpage/nn00557594
,0.01441,47.0,nc,50.0,"5km WNW of The Geysers, California",0.04,31,",nc,",reviewed,earthquake,1388614523980,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134421
,0.04316,137.0,ci,13.0,"20km ESE of Anza, CA",0.08,3,",ci,",reviewed,earthquake,1388614491890,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408842
,0.002703,112.0,nc,18.0,"6km E of Mammoth Lakes, California",0.1,7,",nc,",reviewed,earthquake,1388614225770,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134411
,0.001802,111.0,nc,11.0,"6km E of Mammoth Lakes, California",0.1,2,",nc,",reviewed,earthquake,1388614199290,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134416
,0.01261,108.0,nc,12.0,"7km ESE of Mammoth Lakes, California",0.02,0,",nc,",reviewed,earthquake,1388614036060,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134406
,16.894,80.0,us,,Southern Mid-Atlantic Ridge,0.76,298,",us,",reviewed,earthquake,1388613903740,https://earthquake.usgs.gov/earthquakes/eventpage/usb000m2w5
,,,ak,,"32km WNW of Valdez, Alaska",0.46,50,",ak,ak,",reviewed,earthquake,1388613896936,https://earthquake.usgs.gov/earthquakes/eventpage/ak01420nv25
,0.0009009,135.0,nc,11.0,"6km E of Mammoth Lakes, California",0.09,6,",nc,",reviewed,earthquake,1388613846190,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134401
,,,ak,,"57km ESE of Whittier, Alaska",0.72,56,",ak,ak,",reviewed,earthquake,1388613564926,https://earthquake.usgs.gov/earthquakes/eventpage/ak01420e5d8
,0.01261,204.0,nc,5.0,Northern California,0.03,5,",nc,",automatic,earthquake,1388613493430,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134396
,0.007207,166.0,nc,6.0,"7km NW of The Geysers, California",0.01,3,",nc,",automatic,earthquake,1388613272880,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134391
,,,ak,,"82km SW of Unalaska, Alaska",0.65,89,",ak,ak,",reviewed,earthquake,1388612889542,https://earthquake.usgs.gov/earthquakes/eventpage/ak01420bray
,0.009009,35.0,nc,50.0,"7km NW of The Geysers, California",0.04,26,",nc,",reviewed,earthquake,1388612358450,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134386
,0.022,151.24,nn,9.0,Nevada,0.1543,0,",nn,",reviewed,earthquake,1388612314180,https://earthquake.usgs.gov/earthquakes/eventpage/nn00432847
,,,ak,,"1km ENE of Badger, Alaska",0.35,4,",ak,ak,",reviewed,earthquake,1388612184237,https://earthquake.usgs.gov/earthquakes/eventpage/ak0142097uf
,1.955,89.0,us,,"216km NW of Saumlaki, Indonesia",1.35,246,",us,",reviewed,earthquake,1388612020420,https://earthquake.usgs.gov/earthquakes/eventpage/usb000m2w4
,0.0009009,58.0,nc,13.0,"6km NW of The Geysers, California",0.01,5,",nc,",automatic,earthquake,1388611837690,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134381
,0.08495,112.0,ci,20.0,"10km NE of Indio, CA",0.11,15,",ci,",reviewed,earthquake,1388611612150,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408834
,2.79,62.0,us,,"69km ENE of Amahai, Indonesia",1.46,340,",us,",reviewed,earthquake,1388611549120,https://earthquake.usgs.gov/earthquakes/eventpage/usc000lvew
,0.1622,158.0,nc,12.0,"11km SSE of Chester, California",0.06,30,",nc,",reviewed,earthquake,1388610885690,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134376
,0.072,178.18,nn,5.0,Nevada,0.0244,15,",nn,",reviewed,earthquake,1388610847781,https://earthquake.usgs.gov/earthquakes/eventpage/nn00557593
,0.652,160.0,us,,"180km SSE of Sinabang, Indonesia",1.3,312,",us,",reviewed,earthquake,1388610693410,https://earthquake.usgs.gov/earthquakes/eventpage/usc000lven
,0.2058,303.0,ci,9.0,"11km W of Alberto Oviedo Mota, B.C., MX",0.12,60,",ci,",reviewed,earthquake,1388610678030,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408826
,0.03305,114.0,ci,7.0,"12km ENE of Coso Junction, CA",0.11,0,",ci,",reviewed,earthquake,1388609758050,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408810
,0.068,176.2,nn,7.0,Nevada,0.1218,39,",nn,",reviewed,earthquake,1388609730387,https://earthquake.usgs.gov/earthquakes/eventpage/nn00557592
,,,ak,,"72km W of Cantwell, Alaska",0.35,56,",ak,ak,",reviewed,earthquake,1388609422792,https://earthquake.usgs.gov/earthquakes/eventpage/ak0141zqs5j
,,,ak,,"72km E of Bear Creek, Alaska",0.33,56,",ak,ak,",reviewed,earthquake,1388608484558,https://earthquake.usgs.gov/earthquakes/eventpage/ak0141znedj
,,133.0,hv,15.0,"13 km ENE of Honaunau-Napoopoo, Hawaii",0.13,27,",hv,",reviewed,earthquake,1388608223310,https://earthquake.usgs.gov/earthquakes/eventpage/hv60614426
,0.01081,101.0,nc,9.0,"3km W of Cobb, California",0.01,12,",nc,",automatic,earthquake,1388608123990,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134371
,0.02432,261.0,nc,4.0,Northern California,0.04,4,",nc,",automatic,earthquake,1388608089990,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134366
,0.1957,160.0,uw,9.0,"1km WSW of Wauna, Washington",0.08,8,",uw,",reviewed,earthquake,1388606854770,https://earthquake.usgs.gov/earthquakes/eventpage/uw60664436
,0.01081,41.0,nc,47.0,"2km WNW of Cobb, California",0.07,32,",nc,",reviewed,earthquake,1388606750260,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134361
,0.08697,113.0,ci,21.0,"10km NE of Indio, CA",0.12,14,",ci,",reviewed,earthquake,1388606046990,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408802
,0.00991,109.0,nc,6.0,Northern California,0.01,3,",nc,",automatic,earthquake,1388605793410,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134356
,0.01261,96.0,nc,17.0,"6km NW of The Geysers, California",0.02,6,",nc,",automatic,earthquake,1388605685310,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134346
,0.3,115.0,nc,17.0,"13km SW of Westwood, California",0.06,41,",nn,nc,",reviewed,earthquake,1388605637310,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134351
,0.01558,158.0,ci,7.0,"4km S of Wofford Heights, CA",0.1,16,",ci,",reviewed,earthquake,1388605470590,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408794
,,,ak,,"84km SW of Sand Point, Alaska",0.64,68,",ak,ak,",reviewed,earthquake,1388605387038,https://earthquake.usgs.gov/earthquakes/eventpage/ak0141z3tbj
,0.07285,144.0,ci,23.0,"20km ESE of Anza, CA",0.08,3,",ci,",reviewed,earthquake,1388605268700,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408786
,0.157,281.92,nn,6.0,"61km WNW of Beatty, Nevada",0.0311,0,",nn,",reviewed,earthquake,1388604613807,https://earthquake.usgs.gov/earthquakes/eventpage/nn00433110
,,,ak,,"77km NNE of Redoubt Volcano, Alaska",0.54,68,",ak,ak,",reviewed,earthquake,1388604472790,https://earthquake.usgs.gov/earthquakes/eventpage/ak0141z0he7
,0.002703,144.0,nc,7.0,"Long Valley area, California",0.07,0,",nc,",reviewed,earthquake,1388603977650,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134341
,1.385,163.0,us,,"61km NW of Meulaboh, Indonesia",0.97,284,",us,",reviewed,earthquake,1388603876090,https://earthquake.usgs.gov/earthquakes/eventpage/usc000lvdi
,,,ak,,"32km WNW of Seward, Alaska",0.44,56,",ak,ak,",reviewed,earthquake,1388603761998,https://earthquake.usgs.gov/earthquakes/eventpage/ak0141yy0lj
,0.01997,126.0,ci,9.0,"11km ENE of Coso Junction, CA",0.07,0,",ci,",reviewed,earthquake,1388603484570,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408778
,0.01171,105.0,nc,7.0,"3km NNW of The Geysers, California",0.02,1,",nc,",automatic,earthquake,1388603336890,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134326
,0.05135,289.0,nc,7.0,Central California,0.03,0,",nc,",reviewed,earthquake,1388603284950,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134331
,0.05586,61.0,nc,12.0,"27km NE of Soledad, California",0.09,7,",nc,",reviewed,earthquake,1388603175180,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134321
,0.0964,219.0,nc,7.0,Northern California,0.46,11,",nc,",reviewed,earthquake,1388602653370,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134316
,,,ak,,"8km SSE of Willow, Alaska",0.44,30,",ak,ak,",reviewed,earthquake,1388601950417,https://earthquake.usgs.gov/earthquakes/eventpage/ak0141yiwht
,0.01843,92.0,ci,12.0,"3km S of Wofford Heights, CA",0.09,24,",ci,",reviewed,earthquake,1388601720050,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408770
,0.4393,194.0,ld,16.0,"8km N of Rigaud, Canada",0.3,54,",ld,",reviewed,earthquake,1388601211960,https://earthquake.usgs.gov/earthquakes/eventpage/ld60052526
,,,ak,,"54km N of Valdez, Alaska",0.76,56,",ak,ak,",reviewed,earthquake,1388601091473,https://earthquake.usgs.gov/earthquakes/eventpage/ak0141yfv0b
,0.144,311.13,nn,3.0,Nevada,0.0002,0,",nn,",reviewed,earthquake,1388601049507,https://earthquake.usgs.gov/earthquakes/eventpage/nn00432945
,0.01081,90.0,nc,10.0,"5km NW of The Geysers, California",0.03,4,",nc,",automatic,earthquake,1388600627950,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134311
,0.01367,160.0,ci,7.0,"5km S of Wofford Heights, CA",0.08,7,",ci,",reviewed,earthquake,1388600474310,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408762
,,,ak,,"152km SSE of Tok, Alaska",0.38,26,",ak,ak,",reviewed,earthquake,1388600020299,https://earthquake.usgs.gov/earthquakes/eventpage/ak0141yc0st
,0.007207,80.0,nc,9.0,"6km WSW of Mammoth Lakes, California",0.05,5,",nc,",reviewed,earthquake,1388599780420,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134306
,0.006306,89.0,nc,8.0,"3km NW of The Geysers, California",0.01,4,",nc,",automatic,earthquake,1388599610700,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134296
,0.134,309.64,nn,3.0,Nevada,0.0008,0,",nn,",reviewed,earthquake,1388599554928,https://earthquake.usgs.gov/earthquakes/eventpage/nn00432944
,0.01892,83.0,nc,11.0,"7km WSW of Mammoth Lakes, California",0.07,2,",nc,",reviewed,earthquake,1388599465460,https://earthquake.usgs.gov/earthquakes/eventpage/nc72135686
,0.00991,246.0,nc,10.0,"10km W of Mammoth Lakes, California",0.13,2,",nc,",reviewed,earthquake,1388599459810,https://earthquake.usgs.gov/earthquakes/eventpage/nc71076964
,0.08919,307.0,nc,8.0,"19km W of Mammoth Lakes, California",0.05,10,",nc,",reviewed,earthquake,1388599446760,https://earthquake.usgs.gov/earthquakes/eventpage/nc71076969
,0.04233,37.0,ci,40.0,"9km N of Cabazon, CA",0.12,32,",ci,",reviewed,earthquake,1388598819870,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408754
,0.06826,104.0,ci,9.0,"8km NNW of Anza, CA",0.02,2,",ci,",reviewed,earthquake,1388598592630,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408746
,0.01193,70.0,ci,14.0,"4km S of Wofford Heights, CA",0.17,19,",ci,",reviewed,earthquake,1388598303490,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408738
,3.738,104.0,us,,"46km ESE of Farallon de Pajaros, Northern Mariana Islands",0.69,340,",us,",reviewed,earthquake,1388598198610,https://earthquake.usgs.gov/earthquakes/eventpage/usc000lvd6
,0.00991,50.0,nc,15.0,"6km W of Cobb, California",0.02,11,",nc,",automatic,earthquake,1388598178980,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134291
,0.06762,126.0,ci,8.0,"10km SSW of Idyllwild, CA",0.02,0,",ci,",reviewed,earthquake,1388597566950,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408730
,0.1887,90.0,uw,18.0,"2km WSW of Wauna, Washington",0.11,31,",uw,",reviewed,earthquake,1388597214420,https://earthquake.usgs.gov/earthquakes/eventpage/uw60664401
,,,us,,"64km SE of Tanaga Volcano, Alaska",0.62,199,",us,ak,",reviewed,earthquake,1388597053380,https://earthquake.usgs.gov/earthquakes/eventpage/usc000lyby
,0.001802,45.0,nc,66.0,"9km NW of The Geysers, California",0.05,60,",nc,",reviewed,earthquake,1388596992080,https://earthquake.usgs.gov/earthquakes/eventpage/nc72134286
,0.0662,54.0,ci,21.0,"7km NNW of Cabazon, CA",0.07,13,",ci,",reviewed,earthquake,1388596432160,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408722
,,,ak,,"34km N of Nikiski, Alaska",0.33,39,",ak,ak,",reviewed,earthquake,1388595996317,https://earthquake.usgs.gov/earthquakes/eventpage/ak0141xp2vj
,,,ak,,"119km W of Cantwell, Alaska",0.58,30,",ak,ak,",reviewed,earthquake,1388595951942,https://earthquake.usgs.gov/earthquakes/eventpage/ak0141xowd6
,0.03395,69.0,ci,17.0,"6km WSW of Calipatria, CA",0.13,23,",ci,",reviewed,earthquake,1388595846710,https://earthquake.usgs.gov/earthquakes/eventpage/ci11408714
,,268.0,hv,6.0,"14 km E of Naalehu, Hawaii",0.04,57,",hv,",reviewed,earthquake,1388595596340,https://earthquake.usgs.gov/earthquakes/eventpage/hv60614356
